session,acquisition,status
20091103x1415,DTI_30dir,deleted
20091103x1415,DTI_30dir,deleted
122946x20210427x3T,TOF_3D_multi-slab,deleted
20090316x1310,t2_tse_tra,deleted
20091103x1415,t2_tse_COR8CHANNEL,deleted
20091103x1415,localizer,deleted
122946x20210427x3T,T2_2D_0.4x0.4x1.2mm_180flip_ND,deleted
122946x20210427x3T,T2_2D_0.4x0.4x1.2mm_180flip,deleted
20090316x1310,ep2d_fairest_UI_1500ms,deleted
20090316x1310,csi_se_30,deleted
20090218x1235,MoCoSeries,deleted
20090218x1235,MoCoSeries,deleted
20090218x1235,DTI_30dir_noDiCo_vox2_1000,deleted
20090218x1235,DTI_30dir_noDiCo_vox2_1000,deleted
20090218x1235,localizer,deleted
122946x20210427x3T,Localizer,deleted
20090218x1235,MoCoSeries,deleted
20090218x1235,t2_tse_tra8CHANNEL,deleted
20090218x1235,DTI_30dir_noDiCo_vox2_1000,deleted
20090218x1235,MoCoSeries,deleted
20090218x1235,MoCoSeries,deleted
20090218x1235,ep2d_fairest_UI_1500ms,deleted
20090218x1235,csi_se_ar3T,deleted
20090218x1235,csi_se_ar3T_UNSUP,deleted
113066x02x20210427x3T,MultiShell_117dir,deleted
20040928x1330,ep2d_casl_AM_UI_1500ms,deleted
20090218x1235,ep2d_fairest_UI_M0,deleted
113066x02x20210427x3T,B0map,deleted
20090218x1235,t2_tse_tra,deleted
20091201x1029,localizer,deleted
20091201x1029,ep2d_se_pcasl_PHC_1500ms,deleted
113066x02x20210427x3T,B0map,deleted
20091201x1029,t2_tse_tra8CHANNEL,deleted
20091201x1029,DTI_30dir,deleted
113066x02x20210427x3T,rfMRI_REST_PA,deleted
20091201x1029,DTI_30dir,deleted
20091201x1029,t2_tse_COR8CHANNEL,deleted
20091201x1029,DTI_30dir,deleted
20091201x1029,MoCoSeries,deleted
20040928x1330,t2_tse_tra,deleted
20040928x1330,field_map,deleted
20090316x1310,localizer,deleted
20090512x1126,MoCoSeries,deleted
20090316x1310,localizer,deleted
20090106x1214,MoCoSeries,deleted
20090316x1310,ep2d_bold_restingZE6min,deleted
122946x20210427x3T,PhoenixZIPReport,deleted
20090316x1310,MoCoSeries,deleted
20090316x1310,DTI_30dir_noDiCo_vox2_1000,deleted
20090512x1126,ep2d_fairest_UI_M0,deleted
122946x20210427x3T,Localizer_aligned,deleted
20090512x1126,localizer,deleted
20090512x1126,DTI_30dir_noDiCo_vox2_1000,deleted
20090512x1126,t2_tse_tra8CHANNEL,deleted
20090512x1126,MoCoSeries,deleted
122946x20210427x3T,AAHead_Scout_MPR_tra,deleted
20090512x1126,MoCoSeries,deleted
20040928x1330,field_map,deleted
20090512x1126,MoCoSeries,deleted
20090512x1126,DTI_30dir_noDiCo_vox2_1000,deleted
20090512x1126,MoCoSeries,deleted
20090512x1126,DTI_30dir_noDiCo_vox2_1000,deleted
20090512x1126,ep2d_fairest_UI_1500ms,deleted
122946x20210427x3T,AAHead_Scout_MPR_cor,deleted
20040928x1330,pd_tse_tra,deleted
20040928x1330,localizer,deleted
20040928x1330,MoCoSeries,deleted
122946x20210427x3T,AAHead_Scout_MPR_sag,deleted
122946x20210427x3T,AAHead_Scout,deleted
20040928x1330,t1_se_sag,deleted
20040928x1330,DTI_12dir,deleted
122946x20210427x3T,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_ASL,deleted
124972x20210525x3T,TOF_3D_multi-slab,deleted
20090106x1214,DTI_30dir_noDiCo_vox2_1000,deleted
124938x20210527x3T,rfMRI_REST_PA,deleted
124938x20210527x3T,FLAIR_3D_1x1x1,deleted
124938x20210527x3T,T2_2D_0.4x0.4x1.2mm_180flip_ND,deleted
124938x20210527x3T,T2_2D_0.4x0.4x1.2mm_180flip,deleted
124938x20210527x3T,TOF_3D_multi-slab,deleted
124938x20210527x3T,TOF_3D_multi-slab_MIP_TRA,deleted
124938x20210527x3T,TOF_3D_multi-slab_MIP_COR,deleted
124938x20210527x3T,TOF_3D_multi-slab_MIP_SAG,deleted
124938x20210527x3T,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_M0,deleted
124938x20210527x3T,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_MeanPerf,deleted
124938x20210527x3T,ASL_3DSpiral_4shot_2.5mm_1Daccel_V20_ASL,deleted
124938x20210527x3T,SpinEchoFieldMap_AP,deleted
124938x20210527x3T,SpinEchoFieldMap_PA,deleted
124938x20210527x3T,rfMRI_REST_AP,deleted
124938x20210527x3T,B0map,deleted
124938x20210527x3T,T1_3D_0.8x0.8x0.8_ND,deleted
